Karigoni,Ata
Akuaku,Clement
Gyansah,Kuulieryir
Bekoe,Diabiir
Nana,Josephine
Aynaobe,Humi
Boney,Mariam
Arthur,Aikins
Ebenezer,Nakojah
Akwasi,Damoah
Glavi,Safura
Mwinkum,Nyaaba
Dendiok,Maliki
Asiaduwaa,Yin
Serwaa,Ruth
Kudzo,Pusaktiba
Affum,Atipoka
Nkemene,Eward
Awuni,Edem
Tahiru,Emma
Nelson,Ntapoa
Bugli,Kobina
Keketsyor-Agbo,Rahinatu
Amegbor,Zulaya
Abubakari,Juawie
Esum,Fremah
Akanbe,Zahra
Obour,Ishaw
Anane Yeboah,Steve
Nipah,Yao
Glover,Umaru
Boamah Osborn,Jalo
Owusuwaa,Juliet
Sika,Salomey
Foster,Bintu
Ankrah,Kingsley
Yorta,Arafat
Basigi,Arishetu
Polkuu,Hamadu
Blay,Mattew
Abobea,Poanaba
Fauzia,Poawuni
Essilfie,Azara
Saajo,Godslove
Abanfo,Sylvester
Quaning,Enock
Abugrago,Frances
Puozu,Okai
Issaka,Matilda
Andani,Elijah
Daata,Iddris
Antwiwaa,Nkansah
Azubire,Najo
Gyamfi,Job
Batanyi,Biigba
Adubea,Miriam
Yamoah,Munira
Shakie,Bakari
Dansoh,Hanabeh
Kyei,Amankwaah
Bortsie,Rita
Dizabra,Adiyatu
Dagbandoo,Divine
Boabil,Jack
Clement,Hawawu
Dabadoo,Ransford
Gumah,Nampaala
Debe,Adizatu
Sandow,Kasua
Abena,Munya
Attia,Amenu
Kolgu,Stanishlove
Amissah,Samata
Osei Afari,Akafaare
Gyawu Kwame,Oheneba
Mansah,Vivian
Foaa,Philomina
Opare,Fatimatu
Jesbright,Afsatu
Essoun,Abubakari
Otchere,Asore
Sakpitty,Idrisu
Mahami,Angela
Adzi,Rukiatu
Bunyah,Aba
Naa-Uuno,Lantey
Kuukyuune,Bamba
N-Lewie,Esi
Direh,Benedicta
Imoro - Ka,Atibli
Tee,Jones
Dietnuatey,Bukari
Bossu,Collins
Amihere,Odjao
Bagyileku,Nicholas
Kwofie,Douglas
Ampomah,Durowaa
Alihu,Celina
Vorsah,Afan
Afriyie,Owusu
Morgan,Mouricia
Afedi,Helen
Amanu,Awabu
Danso,Kamal
Naamwinkuu,Kanyiti
Narh,Ayisheitu
Alofa,Sei
Yelfaadenew,Baba
Ikore,Anonwine
Baala,Colliins
Duut,Ayimpaka
Addae,Arabia
Sulley,Savaina
Ninson,Kipo
Amoako,Mawuli
Bigme,Khadija
Nyanba,Attah
Ofosu,Manfred
Mumin,Malik
Awine,Mayi
Kumah,Faruk
Boadi,Dasmon
Bandong,Ndeni
Gbana,Maah
Akurigo,Fusheina
Oteng,Kadijah
Kasim,Sadat
Daga,Sumaya
Boss,Adom
Akpalu,Winfred
Sambo,Mobina
Mpunbe,Mihleokpo
Nyan,Muniru
Adzramator,Adjignon
Fiagbedzi,Bigimgban
Combet,Inusah
Kpodo,Marku
Nengwie,Agossi
Issifu,Tei
Tabong,Steven
Kommey,Peace
Agyeiwaa,Mark
Sumani,Yayah
Asimenu,Gerald
Badiako,Alfredina
Zutunu,Kuunibe
Ayitey,Tracy
Abdul-Rahaman,Salam
Botwe,Ayi
Deku,Atandaa
Kwaakye,Kusi
Samah,Afriyie
Nkuah,Gafar
Lavi,Niema
